id,type,action,actor_id,actor_login,repo_id,repo_name,org_id,org_login,created_at,issue_id,issue_number,issue_title,body,issue_labels.name,issue_labels.color,issue_labels.default,issue_labels.description,issue_author_id,issue_author_login,issue_author_type,issue_author_association,issue_assignee_id,issue_assignee_login,issue_assignees.login,issue_assignees.id,issue_created_at,issue_updated_at,issue_comments,issue_closed_at,issue_comment_id,issue_comment_created_at,issue_comment_updated_at,issue_comment_author_association,issue_comment_author_id,issue_comment_author_login,issue_comment_author_type,pull_commits,pull_additions,pull_deletions,pull_changed_files,pull_merged,pull_merge_commit_sha,pull_merged_at,pull_merged_by_id,pull_merged_by_login,pull_merged_by_type,pull_requested_reviewer_id,pull_requested_reviewer_login,pull_requested_reviewer_type,pull_review_comments,pull_base_ref,pull_head_repo_id,pull_head_repo_name,pull_head_ref,repo_description,repo_size,repo_stargazers_count,repo_forks_count,repo_language,repo_has_issues,repo_has_projects,repo_has_downloads,repo_has_wiki,repo_has_pages,repo_license,repo_default_branch,repo_created_at,repo_updated_at,repo_pushed_at,repo_topics.name,pull_review_state,pull_review_author_association,pull_review_id,pull_review_comment_id,pull_review_comment_path,pull_review_comment_position,pull_review_comment_author_id,pull_review_comment_author_login,pull_review_comment_author_type,pull_review_comment_author_association,pull_review_comment_created_at,pull_review_comment_updated_at,push_id,push_size,push_distinct_size,push_ref,push_head,push_commits.name,push_commits.email,push_commits.message,fork_forkee_id,fork_forkee_full_name,fork_forkee_owner_id,fork_forkee_owner_login,fork_forkee_owner_type,delete_ref,delete_ref_type,delete_pusher_type,create_ref,create_ref_type,create_master_branch,create_description,create_pusher_type,gollum_pages.page_name,gollum_pages.title,gollum_pages.action,member_id,member_login,member_type,release_id,release_tag_name,release_target_commitish,release_name,release_draft,release_author_id,release_author_login,release_author_type,release_prerelease,release_created_at,release_published_at,release_body,release_assets.name,release_assets.uploader_login,release_assets.uploader_id,release_assets.content_type,release_assets.state,release_assets.size,release_assets.download_count,commit_comment_id,commit_comment_author_id,commit_comment_author_login,commit_comment_author_type,commit_comment_author_association,commit_comment_path,commit_comment_position,commit_comment_line,commit_comment_sha,commit_comment_created_at,commit_comment_updated_at
2489373821,IssuesEvent,opened,1152927,stockholmux,13301038,Turfjs/turf,7736769,Turfjs,2015-01-01 00:10:47,53209230,175,Distance mis-reported,"I'm running the following code:

```
var
  turf = require('turf'),
  distance = turf.distance,
  point = turf.point,
  unit = 'miles';


console.log(distance(point(42.954553, -81.347474),point(46.471034, -80.980912),unit));
```

The result I'm getting is:
```
45.105636619364745
```

Now, those two coordinates are London, Ontario and Sudbury, Ontario which are over 240 miles apart, checked against [this](http://tjpeiffer.com/crowflies.html). Other coordinates seem to be reporting rational distances. Am I doing something wrong or is this a bug?

",[],[],[],[],1152927,stockholmux,User,COLLABORATOR,0,,[],[],2015-01-01 00:10:47,2015-01-01 00:10:47,0,,0,,,COLLABORATOR,0,,Bot,0,0,0,0,0,,,0,,Bot,0,,Bot,0,,0,,,,0,0,0,,0,0,0,0,0,,,,,,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489379386,IssueCommentEvent,created,814300,morganherlocker,13301038,Turfjs/turf,7736769,Turfjs,2015-01-01 00:22:08,53209230,175,Distance mis-reported,"Hey @stockholmux, the issue is that you are using lat,lon. Turf assumes data will be x,y. I tried flipping your coordinates and got `243.70683798086725`. 

```
var dist = require('turf-distance')
var p1 = {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          -81.347474,
          42.954553
        ]
      }
    }
var p2 = {
      ""type"": ""Feature"",
      ""properties"": {},
      ""geometry"": {
        ""type"": ""Point"",
        ""coordinates"": [
          -80.980912, 46.471034
        ]
      }
    }
console.log(dist(p1,p2,'miles'))
```

Thanks for reporting the issue. I will document this a bit better to avoid the confusion in the future. For reference, Turf follows the [GeoJSON](http://geojson.org/geojson-spec.html) spec for all data, which specifies x,y,z encoding.

> A position is represented by an array of numbers. There must be at least two elements, and may be more. The order of elements must follow x, y, z order (easting, northing, altitude for coordinates in a projected coordinate reference system, or longitude, latitude, altitude for coordinates in a geographic coordinate reference system). Any number of additional elements are allowed -- interpretation and meaning of additional elements is beyond the scope of this specification.",[],[],[],[],1152927,stockholmux,User,COLLABORATOR,0,,[],[],2015-01-01 00:10:47,2015-01-01 00:22:08,1,,68476358,2015-01-01 00:22:08,2015-01-01 00:22:08,COLLABORATOR,814300,morganherlocker,User,0,0,0,0,0,,,0,,Bot,0,,Bot,0,,0,,,,0,0,0,,0,0,0,0,0,,,,,,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489421563,PullRequestEvent,opened,12637,rwjblue,9852918,TryGhost/Ghost,2178663,TryGhost,2015-01-01 02:10:07,26739945,4742,Cleanup posts template.,"No issue.

* Fix indentation (it was surprisingly hard for me to grok what was happening without indentation).
* Utilize `alternateActive` from `core/client/utils/link-view.js` to maintain the `active` state. Observing `childViews` is deprecated (and may not work properly in future versions of Ember).
* Remove now unused `item-view`.",[],[],[],[],12637,rwjblue,User,COLLABORATOR,0,,[],[],2015-01-01 02:10:04,2015-01-01 02:10:04,0,,0,,,COLLABORATOR,0,,Bot,1,21,30,3,0,,,0,,Bot,0,,Bot,0,master,18351883,rwjblue/Ghost,cleanup-posts-template,Just a blogging platform,52461,13483,3024,JavaScript,1,0,1,1,1,,master,2013-05-04 11:09:13,2015-01-01 01:11:37,2014-12-31 20:17:02,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489445699,PullRequestEvent,opened,12637,rwjblue,9852918,TryGhost/Ghost,2178663,TryGhost,2015-01-01 03:34:54,26740328,4743,Do not use static and {{bind-attr}} for the same attribute.,"No issue.

This would work in pre-HTMLBars land for the initial render (but any rerenders would lose the static attribute name). Added https://github.com/emberjs/ember.js/pull/10096 to throw an assertion when this occurs.",[],[],[],[],12637,rwjblue,User,COLLABORATOR,0,,[],[],2015-01-01 03:34:53,2015-01-01 03:34:53,0,,0,,,COLLABORATOR,0,,Bot,1,2,2,1,0,,,0,,Bot,0,,Bot,0,master,18351883,rwjblue/Ghost,remove-double-class-assignment,Just a blogging platform,52461,13484,3024,JavaScript,1,0,1,1,1,,master,2013-05-04 11:09:13,2015-01-01 03:12:03,2014-12-31 20:17:02,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489479589,PullRequestEvent,opened,1968991,jbfriedrich,9852918,TryGhost/Ghost,2178663,TryGhost,2015-01-01 05:58:25,26740839,4744,Update excerpt helper to properly filter HTML footnotes,"closes #4741
- updated regexp to properly filter out footnotes without removing too much text
- happened only when a link was used before a footnote
- old regexp was too 'greedy' and removed regular link together with the footnote
- new regexp uses a more specific <a> tag",[],[],[],[],1968991,jbfriedrich,User,COLLABORATOR,0,,[],[],2015-01-01 05:58:23,2015-01-01 05:58:23,0,,0,,,COLLABORATOR,0,,Bot,1,1,1,1,0,9573fee6aea3a183c9d1a62b5f9f0cbb3258a68a,,0,,Bot,0,,Bot,0,master,28680733,jbfriedrich/Ghost,fix4741,Just a blogging platform,52461,13483,3025,JavaScript,1,0,1,1,1,,master,2013-05-04 11:09:13,2015-01-01 03:46:01,2014-12-31 20:17:02,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489560426,IssuesEvent,closed,4450522,crisbeto,9539222,nDmitry/grunt-autoprefixer,0,,2015-01-01 10:46:33,52644152,85,Feature request: Auto-updating caniuse database,Would it be possible to add an option that downloads the newest prefixes (presumably via `npm update caniuse-db`) before autoprefixer?,[],[],[],[],4450522,crisbeto,User,COLLABORATOR,0,,[],[],2014-12-22 12:10:02,2015-01-01 10:46:32,1,2015-01-01 10:46:32,0,,,COLLABORATOR,0,,Bot,0,0,0,0,0,,,0,,Bot,0,,Bot,0,,0,,,,0,0,0,,0,0,0,0,0,,,,,,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489589181,IssuesEvent,opened,1034533,kahwooi,9118648,jsreport/jsreport,3989182,jsreport,2015-01-01 12:19:43,53218674,37,Can I use jsreport with bootstrap,"When I try to generate PDFreport with html and bootstrap, it does not work. 

Can I use stylesheet link when generate a report? Or do I have to write my css inside the html?",[],[],[],[],1034533,kahwooi,User,COLLABORATOR,0,,[],[],2015-01-01 12:19:43,2015-01-01 12:19:43,0,,0,,,COLLABORATOR,0,,Bot,0,0,0,0,0,,,0,,Bot,0,,Bot,0,,0,,,,0,0,0,,0,0,0,0,0,,,,,,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489589800,PullRequestEvent,opened,492616,delgermurun,9852918,TryGhost/Ghost,2178663,TryGhost,2015-01-01 12:21:29,26742696,4745,"Check email duplicates, when edit user.","fixes #4735
- on user edit API, check whether email duplicated or not.
- added test.",[],[],[],[],492616,delgermurun,User,COLLABORATOR,0,,[],[],2015-01-01 12:21:28,2015-01-01 12:21:29,0,,0,,,COLLABORATOR,0,,Bot,1,27,7,2,0,,,0,,Bot,0,,Bot,0,master,26952000,delgermurun/Ghost,check-email-existence,Just a blogging platform,52461,13486,3025,JavaScript,1,0,1,1,1,,master,2013-05-04 11:09:13,2015-01-01 11:53:24,2014-12-31 20:17:02,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489592916,IssueCommentEvent,created,492616,delgermurun,9852918,TryGhost/Ghost,2178663,TryGhost,2015-01-01 12:29:16,53218699,4745,"Check email duplicates, when edit user.","I'm new to nodejs, so I'm very open to any suggestion/comment/advice.

My English isn't good especially on writing and I'm trying to improve it. I'm really appreciate, If you recommend me fixes on commit message and texts that used inside code.

Thank you.",[],[],[],[],492616,delgermurun,User,COLLABORATOR,0,,[],[],2015-01-01 12:21:28,2015-01-01 12:29:15,1,,68485642,2015-01-01 12:29:15,2015-01-01 12:29:15,COLLABORATOR,492616,delgermurun,User,0,0,0,0,0,,,0,,Bot,0,,Bot,0,,0,,,,0,0,0,,0,0,0,0,0,,,,,,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
2489608680,IssueCommentEvent,created,2041960,pofider,9118648,jsreport/jsreport,3989182,jsreport,2015-01-01 13:15:18,53218674,37,Can I use jsreport with bootstrap,"Yes, you can link external styles with absolute url.

Check it out here https://playground.jsreport.net/#playground/eWCYunp7x/3

You may notice pdf looks different then original html. This is because bootstrap has special styles for printing. You would need to remove or overwrite them to have it the same.",[],[],[],[],1034533,kahwooi,User,COLLABORATOR,0,,[],[],2015-01-01 12:19:43,2015-01-01 13:15:18,1,,68486380,2015-01-01 13:15:18,2015-01-01 13:15:18,COLLABORATOR,2041960,pofider,User,0,0,0,0,0,,,0,,Bot,0,,Bot,0,,0,,,,0,0,0,,0,0,0,0,0,,,,,,[],approved,COLLABORATOR,0,0,,,0,,Bot,COLLABORATOR,,,0,0,0,,,[],[],[],0,,0,,Bot,,,deploy_key,,branch,,,deploy_key,[],[],[],0,,Bot,0,,,,0,0,,Bot,0,,,,[],[],[],[],[],[],[],0,0,,Bot,COLLABORATOR,,,,,,
